skill_id,c_layer1,c_layer2,c_layer3
7.0,0,0.0,0
14.0,0,1.0,0
21.0,1,0.0,0
22.0,0,1.0,1
34.0,2,0.0,0
65.0,2,0.0,1
78.0,3,0.0,0
96.0,3,1.0,0
113.0,4,0.0,0
117.0,0,2.0,0
178.0,2,1.0,0
180.0,0,3.0,0
182.0,3,0.0,0
954182.0,3,0.0,1
954184.0,3,2.0,0
954188.0,3,1.0,1
954189.0,0,4.0,0
954194.0,3,0.0,2
954195.0,3,1.0,1
954196.0,2,2.0,0
954198.0,5,0.0,0
954207.0,5,1.0,0
954210.0,0,2.0,1
954213.0,2,3.0,0
954215.0,3,0.0,0
954216.0,5,0.0,0
954218.0,5,1.0,0
954223.0,2,1.0,0
954225.0,0,4.0,1
954227.0,0,4.0,0
954229.0,0,2.0,2
954236.0,3,0.0,1
954237.0,3,3.0,0
954238.0,0,4.0,2
954241.0,0,0.0,1
954242.0,0,4.0,0
954243.0,5,0.0,1
954252.0,1,1.0,0
954254.0,0,2.0,2
954256.0,5,2.0,0
954258.0,0,2.0,3
954260.0,3,0.0,2
954261.0,5,0.0,1
954263.0,5,1.0,1
954265.0,5,0.0,1
954266.0,2,0.0,2
954267.0,3,2.0,1
954273.0,2,1.0,1
954276.0,2,1.0,1
954278.0,3,1.0,2
954281.0,6,0.0,0
954282.0,0,2.0,1
954283.0,2,4.0,0
954285.0,0,3.0,1
954286.0,2,0.0,3
954289.0,0,2.0,2
954290.0,2,2.0,0
954291.0,2,0.0,1
954296.0,0,4.0,0
954300.0,5,1.0,0
954303.0,0,4.0,2
954305.0,0,1.0,1
954306.0,0,2.0,2
954307.0,0,1.0,2
954309.0,2,0.0,0
954310.0,2,1.0,1
954314.0,3,2.0,0
954316.0,3,1.0,0
954317.0,5,2.0,1
954318.0,3,2.0,0
954319.0,5,0.0,2
954320.0,3,3.0,1
954321.0,2,2.0,1
954323.0,3,2.0,1
954326.0,2,0.0,0
954331.0,2,1.0,0
954333.0,2,1.0,0
954335.0,0,1.0,1
954336.0,5,1.0,1
954338.0,0,3.0,1
954345.0,5,0.0,1
954348.0,5,2.0,0
954349.0,0,4.0,1
954350.0,5,3.0,0
954352.0,0,3.0,1
954354.0,2,2.0,1
954355.0,3,1.0,2
954356.0,5,4.0,0
954359.0,5,3.0,1
954362.0,3,0.0,3
954363.0,2,3.0,0
954368.0,0,1.0,1
954369.0,0,2.0,2
954372.0,5,0.0,3
954375.0,5,1.0,0
954378.0,7,0.0,0
954382.0,3,1.0,2
954383.0,2,4.0,0
954384.0,5,3.0,0
954393.0,5,0.0,3
954394.0,2,1.0,0
954395.0,0,4.0,2
954396.0,2,2.0,2
954398.0,5,1.0,0
954403.0,5,1.0,2
954406.0,3,1.0,1
954407.0,5,4.0,1
954409.0,3,1.0,2
954410.0,3,2.0,0
954411.0,3,2.0,1
954413.0,5,4.0,0
954414.0,3,3.0,1
954417.0,6,1.0,0
954421.0,0,1.0,2
954423.0,5,3.0,1
954425.0,5,0.0,0
954426.0,5,0.0,3
954431.0,2,0.0,0
954432.0,2,0.0,0
954434.0,3,3.0,0
954436.0,2,2.0,2
954437.0,2,4.0,1
954440.0,2,3.0,0
954441.0,0,2.0,3
954442.0,2,0.0,2
954444.0,5,1.0,0
954445.0,3,1.0,0
954450.0,3,0.0,1
954451.0,0,2.0,0
954453.0,3,1.0,3
954455.0,0,3.0,1
954457.0,2,3.0,0
954458.0,0,2.0,3
954461.0,1,2.0,0
954463.0,5,1.0,2
954466.0,2,0.0,0
954469.0,0,1.0,1
954470.0,3,2.0,1
954473.0,3,1.0,0
954474.0,0,2.0,2
954475.0,5,1.0,0
954478.0,3,2.0,0
954483.0,2,0.0,0
954485.0,5,0.0,2
954490.0,2,0.0,0
954491.0,0,2.0,1
954493.0,2,1.0,0
954494.0,2,3.0,0
954497.0,3,2.0,1
954499.0,0,3.0,1
954500.0,2,1.0,0
954507.0,0,2.0,1
954508.0,0,2.0,1
954512.0,5,2.0,0
954513.0,3,1.0,2
954515.0,3,3.0,2
954516.0,2,3.0,0
954519.0,2,1.0,1
954521.0,2,1.0,0
954522.0,3,1.0,3
954524.0,0,2.0,1
954526.0,2,2.0,0
954527.0,5,2.0,1
954529.0,3,1.0,4
954532.0,3,0.0,2
954533.0,3,2.0,1
954541.0,5,0.0,3
954551.0,2,2.0,1
954555.0,5,4.0,2
954556.0,5,4.0,1
954557.0,5,3.0,0
954558.0,0,2.0,3
954559.0,0,4.0,2
954560.0,0,3.0,2
954561.0,3,1.0,1
954567.0,3,3.0,2
954568.0,5,1.0,0
954569.0,3,1.0,0
954570.0,1,2.0,0
954574.0,5,2.0,0
954578.0,2,4.0,2
954579.0,1,2.0,0
954580.0,5,1.0,0
954581.0,2,2.0,1
954582.0,3,3.0,0
954585.0,2,2.0,2
954589.0,2,3.0,1
954590.0,1,1.0,1
954591.0,2,2.0,0
954592.0,3,1.0,0
954593.0,2,4.0,3
954594.0,2,0.0,2
954597.0,5,1.0,1
954598.0,3,1.0,1
954599.0,5,0.0,3
954601.0,0,4.0,1
954602.0,5,4.0,0
954604.0,3,0.0,2
954606.0,2,0.0,3
954607.0,2,1.0,0
954610.0,5,1.0,0
954618.0,5,1.0,2
954621.0,2,0.0,0
954623.0,3,1.0,1
954626.0,3,1.0,1
954629.0,2,1.0,1
954631.0,0,1.0,3
954636.0,3,0.0,1
954639.0,3,3.0,0
954640.0,5,4.0,0
954641.0,0,4.0,2
954643.0,3,3.0,1
954647.0,5,0.0,2
954648.0,5,3.0,0
954649.0,5,1.0,2
954650.0,2,3.0,1
954651.0,2,3.0,2
954655.0,5,2.0,1
954657.0,3,2.0,0
954658.0,5,1.0,2
954665.0,3,2.0,0
954667.0,3,1.0,2
954668.0,3,1.0,2
954670.0,2,1.0,0
954672.0,5,4.0,3
954674.0,5,0.0,2
954676.0,1,0.0,1
954677.0,5,1.0,0
954678.0,3,3.0,2
954679.0,3,2.0,1
954684.0,5,0.0,3
954686.0,2,4.0,1
954687.0,2,0.0,2
954689.0,3,2.0,0
954693.0,5,0.0,1
954697.0,2,2.0,1
954698.0,5,4.0,3
954699.0,2,4.0,2
954700.0,0,0.0,2
954701.0,3,3.0,0
954709.0,0,4.0,2
954710.0,3,1.0,2
954712.0,0,2.0,3
954717.0,5,4.0,1
954718.0,5,4.0,3
954722.0,1,1.0,2
954725.0,0,2.0,1
954730.0,3,3.0,2
954733.0,0,4.0,2
954735.0,5,4.0,2
954736.0,5,2.0,0
954737.0,5,1.0,0
954738.0,5,2.0,0
954739.0,5,0.0,3
954740.0,3,1.0,3
954741.0,0,2.0,2
954744.0,5,2.0,0
954747.0,5,1.0,0
954750.0,2,3.0,2
954752.0,3,1.0,0
954754.0,2,0.0,0
954758.0,2,0.0,1
954761.0,0,1.0,1
954762.0,3,1.0,0
954765.0,1,2.0,1
954766.0,2,1.0,0
954769.0,2,4.0,2
954770.0,1,2.0,0
954771.0,5,5.0,0
954774.0,2,1.0,0
954777.0,5,0.0,2
954778.0,0,4.0,1
954779.0,2,2.0,2
954783.0,2,4.0,1
954785.0,3,0.0,0
954790.0,0,3.0,3
954791.0,0,4.0,1
954793.0,0,4.0,2
954795.0,8,0.0,0
954799.0,5,4.0,0
954800.0,6,0.0,0
954805.0,0,2.0,2
954807.0,0,1.0,3
954808.0,5,1.0,0
954809.0,3,1.0,0
954813.0,1,2.0,1
954814.0,3,0.0,3
954825.0,2,2.0,2
954827.0,2,1.0,0
954833.0,0,2.0,2
954837.0,2,2.0,0
954839.0,5,1.0,0
954841.0,3,1.0,2
954842.0,5,0.0,0
954843.0,5,0.0,2
954844.0,2,2.0,3
954848.0,0,4.0,0
954852.0,5,4.0,1
954853.0,0,2.0,3
954854.0,5,0.0,1
954855.0,5,0.0,2
954857.0,2,2.0,1
954859.0,5,1.0,2
954860.0,2,0.0,2
954861.0,0,2.0,0
954862.0,5,5.0,1
954869.0,0,2.0,3
954870.0,2,0.0,0
954872.0,2,3.0,0
954876.0,3,1.0,3
954877.0,2,1.0,0
954878.0,2,3.0,0
954881.0,3,3.0,0
954883.0,5,0.0,3
954884.0,2,2.0,1
954893.0,5,3.0,1
954894.0,2,2.0,2
954895.0,5,1.0,0
954900.0,2,4.0,1
954901.0,2,0.0,0
954904.0,0,2.0,0
954907.0,0,2.0,2
954910.0,2,0.0,1
954912.0,3,1.0,0
954914.0,3,3.0,2
954916.0,5,0.0,1
954917.0,0,3.0,2
954918.0,3,2.0,1
954922.0,5,4.0,2
954923.0,3,0.0,0
954928.0,0,1.0,2
954929.0,0,3.0,2
954930.0,2,4.0,1
954935.0,2,2.0,2
954942.0,5,1.0,1
954943.0,5,1.0,2
954945.0,1,2.0,1
954947.0,0,0.0,1
954949.0,3,3.0,2
954950.0,2,2.0,3
954954.0,5,4.0,3
954959.0,0,1.0,0
954962.0,5,0.0,0
954965.0,3,1.0,0
954969.0,2,3.0,0
954981.0,2,2.0,1
954983.0,2,2.0,1
954985.0,0,3.0,1
954986.0,3,2.0,1
954988.0,5,4.0,1
954989.0,0,3.0,0
954991.0,2,1.0,0
954993.0,3,0.0,2
954995.0,3,1.0,2
954998.0,5,1.0,2
954999.0,3,1.0,2
955000.0,0,1.0,0
955003.0,5,0.0,1
955006.0,3,0.0,1
955007.0,5,1.0,2
955008.0,6,0.0,0
955012.0,3,1.0,3
955013.0,0,2.0,1
955014.0,2,1.0,0
955015.0,3,3.0,0
955018.0,2,0.0,0
955019.0,2,0.0,0
955020.0,0,2.0,0
955031.0,0,4.0,0
955032.0,5,1.0,3
955034.0,5,5.0,0
955037.0,0,2.0,0
955041.0,3,1.0,2
955046.0,3,1.0,1
955047.0,6,2.0,0
955048.0,1,2.0,0
955051.0,2,2.0,2
955052.0,3,0.0,1
955053.0,5,4.0,1
955059.0,2,3.0,2
955061.0,3,1.0,1
955062.0,5,0.0,2
955064.0,5,0.0,2
955068.0,3,0.0,2
955073.0,3,1.0,2
955076.0,5,0.0,2
955077.0,0,1.0,1
955079.0,3,0.0,1
955083.0,3,1.0,3
955084.0,5,1.0,1
955087.0,1,0.0,0
955088.0,3,1.0,2
955091.0,5,0.0,2
955092.0,3,1.0,4
955093.0,3,1.0,1
955095.0,2,4.0,2
955097.0,2,2.0,1
955098.0,3,0.0,2
955099.0,5,0.0,1
955102.0,5,4.0,0
955107.0,0,2.0,2
955109.0,0,0.0,2
955110.0,5,1.0,0
955113.0,0,4.0,2
955114.0,0,1.0,0
955118.0,5,1.0,2
955123.0,1,1.0,2
955127.0,2,2.0,4
955131.0,2,2.0,4
955132.0,5,1.0,2
955134.0,3,1.0,3
955138.0,5,1.0,0
955139.0,3,1.0,4
955141.0,5,0.0,0
955143.0,0,2.0,3
955145.0,3,0.0,2
955148.0,3,1.0,0
955150.0,5,3.0,0
955153.0,2,2.0,0
955155.0,3,3.0,1
955159.0,5,3.0,0
955160.0,2,1.0,0
955162.0,2,0.0,2
955166.0,0,3.0,2
955167.0,2,4.0,1
955169.0,2,2.0,3
955170.0,2,1.0,0
955173.0,5,4.0,3
955174.0,2,1.0,0
955179.0,3,1.0,0
955181.0,2,0.0,0
955183.0,5,0.0,3
955184.0,0,2.0,2
955186.0,5,1.0,1
955190.0,2,0.0,2
955192.0,5,1.0,2
955199.0,5,3.0,0
955200.0,0,0.0,2
955201.0,3,1.0,3
955202.0,5,2.0,1
955203.0,3,1.0,0
955204.0,5,0.0,0
955205.0,9,0.0,0
955209.0,3,2.0,1
955210.0,3,1.0,0
955218.0,2,3.0,2
955223.0,5,0.0,3
955224.0,3,3.0,1
955225.0,10,0.0,0
955228.0,0,2.0,2
955232.0,2,2.0,2
955233.0,2,4.0,2
955243.0,5,1.0,0
955245.0,5,4.0,1
955246.0,5,4.0,0
955248.0,2,1.0,0
955252.0,5,0.0,4
955262.0,2,0.0,1
955268.0,3,1.0,4
955270.0,1,1.0,1
955271.0,5,2.0,0
955276.0,2,0.0,0
955277.0,5,1.0,2
955278.0,5,3.0,1
955283.0,5,4.0,1
955286.0,2,1.0,1
955294.0,1,2.0,0
955297.0,0,3.0,1
955300.0,3,3.0,2
955303.0,3,1.0,4
955304.0,3,0.0,0
955305.0,3,1.0,0
955308.0,5,0.0,2
955313.0,5,0.0,1
955316.0,2,0.0,0
955317.0,5,5.0,1
955320.0,2,3.0,0
955322.0,5,3.0,1
955324.0,5,0.0,2
955325.0,1,0.0,0
955326.0,2,3.0,1
955328.0,5,1.0,1
955329.0,0,1.0,2
955331.0,3,2.0,0
955334.0,2,0.0,2
955337.0,5,1.0,0
955340.0,3,1.0,2
955342.0,5,1.0,1
955344.0,5,1.0,0
955351.0,5,0.0,3
955354.0,5,1.0,0
955355.0,2,0.0,0
955356.0,5,4.0,1
955359.0,2,4.0,3
955361.0,3,1.0,0
955367.0,0,2.0,2
955370.0,0,3.0,4
955372.0,5,0.0,3
955373.0,2,2.0,1
955374.0,5,0.0,3
955375.0,5,1.0,0
955376.0,3,2.0,1
955378.0,2,2.0,4
955380.0,2,2.0,0
955382.0,3,2.0,0
955383.0,3,1.0,4
955385.0,2,2.0,1
955393.0,5,4.0,0
955394.0,5,1.0,2
955395.0,3,1.0,3
955397.0,2,3.0,0
955402.0,5,1.0,0
955403.0,5,2.0,0
955404.0,3,2.0,0
955405.0,3,0.0,2
955407.0,3,1.0,0
955408.0,3,1.0,4
955409.0,2,2.0,2
955412.0,5,1.0,2
955414.0,3,0.0,1
955416.0,5,0.0,3
955418.0,0,4.0,2
955419.0,3,3.0,0
955420.0,0,2.0,3
955426.0,3,1.0,0
955429.0,0,3.0,2
955430.0,2,2.0,3
955433.0,2,0.0,1
955434.0,3,1.0,0
955438.0,2,1.0,1
955440.0,3,1.0,2
955441.0,3,1.0,3
955444.0,5,0.0,3
955447.0,2,3.0,0
955449.0,0,2.0,2
955452.0,0,4.0,2
955453.0,3,0.0,3
955455.0,3,3.0,2
955459.0,0,4.0,0
955463.0,5,4.0,3
955465.0,5,4.0,2
955468.0,5,1.0,0
955470.0,5,0.0,2
955471.0,1,3.0,0
955472.0,0,4.0,1
955475.0,3,0.0,0
955480.0,5,5.0,2
955482.0,2,2.0,1
955485.0,5,1.0,0
955489.0,3,1.0,4
955490.0,3,0.0,0
955491.0,0,1.0,1
955492.0,2,4.0,1
955493.0,5,0.0,2
955494.0,5,1.0,0
955496.0,0,2.0,3
955499.0,2,2.0,3
955501.0,0,2.0,1
955502.0,0,2.0,1
955504.0,3,1.0,2
955505.0,2,0.0,0
955507.0,3,2.0,0
955513.0,5,5.0,3
955514.0,3,1.0,1
955517.0,2,4.0,3
955518.0,5,4.0,3
955519.0,2,0.0,2
955520.0,5,0.0,1
955524.0,5,1.0,2
955525.0,3,2.0,1
955527.0,3,1.0,3
955534.0,1,1.0,1
955536.0,5,1.0,2
955537.0,3,3.0,1
955542.0,0,1.0,3
955543.0,0,4.0,2
955545.0,3,1.0,0
955548.0,2,0.0,0
955551.0,2,4.0,2
955554.0,5,4.0,2
955555.0,5,0.0,1
955557.0,5,4.0,1
955561.0,2,2.0,1
955564.0,2,1.0,0
955566.0,2,3.0,2
955568.0,5,0.0,1
955573.0,2,0.0,1
955574.0,3,3.0,2
955575.0,3,1.0,0
955576.0,5,1.0,1
955577.0,5,1.0,0
955579.0,0,0.0,1
955586.0,0,3.0,1
955589.0,3,3.0,2
955590.0,2,1.0,0
955591.0,0,0.0,1
955594.0,2,3.0,2
955596.0,2,0.0,0
955601.0,5,0.0,2
955609.0,0,3.0,1
955612.0,3,0.0,2
955617.0,5,1.0,0
955619.0,5,1.0,0
955620.0,5,4.0,3
955621.0,2,2.0,2
955622.0,5,1.0,0
955625.0,2,2.0,0
955628.0,0,4.0,1
955630.0,5,0.0,3
955633.0,3,0.0,2
955634.0,3,2.0,0
955635.0,0,4.0,1
955636.0,0,4.0,1
955638.0,0,3.0,2
955639.0,3,1.0,1
955640.0,2,1.0,2
955641.0,5,0.0,1
955644.0,5,0.0,0
955645.0,0,1.0,0
955646.0,2,0.0,0
955648.0,3,1.0,3
955649.0,0,2.0,0
955653.0,5,1.0,1
955655.0,3,1.0,1
955657.0,3,0.0,0
955659.0,5,1.0,0
955660.0,2,0.0,0
955662.0,0,0.0,3
955665.0,3,1.0,1
955666.0,3,1.0,1
955668.0,3,2.0,1
955674.0,4,1.0,0
955676.0,1,1.0,2
955678.0,2,1.0,0
955679.0,5,4.0,3
955686.0,3,1.0,1
955691.0,3,1.0,0
955697.0,2,1.0,1
955698.0,0,2.0,1
955699.0,0,0.0,3
955701.0,5,1.0,2
955706.0,0,3.0,2
955707.0,3,1.0,0
955708.0,5,0.0,3
955711.0,3,1.0,1
955712.0,0,4.0,2
955716.0,3,1.0,3
955718.0,5,1.0,1
955730.0,0,1.0,3
955733.0,2,1.0,0
955734.0,2,0.0,1
955735.0,0,3.0,2
955739.0,3,1.0,0
955749.0,0,1.0,3
955752.0,2,2.0,3
955754.0,3,3.0,0
955757.0,0,2.0,3
955761.0,5,2.0,1
955763.0,2,0.0,0
955766.0,3,1.0,0
955767.0,0,1.0,0
955768.0,2,3.0,2
955769.0,0,0.0,3
955772.0,2,0.0,2
955775.0,0,4.0,1
955776.0,3,1.0,4
955781.0,5,3.0,2
955784.0,5,5.0,0
955785.0,0,4.0,2
955786.0,2,0.0,3
955787.0,2,1.0,1
955788.0,3,3.0,2
955789.0,1,1.0,2
955795.0,5,1.0,0
955800.0,3,1.0,2
955801.0,5,1.0,1
955809.0,0,1.0,0
955811.0,0,4.0,2
955812.0,0,1.0,0
955814.0,2,1.0,0
955817.0,6,1.0,1
955818.0,1,2.0,2
955819.0,0,2.0,3
955820.0,5,2.0,1
955821.0,5,3.0,0
955823.0,2,0.0,3
955827.0,0,2.0,1
955828.0,5,3.0,1
955830.0,5,0.0,0
955831.0,5,0.0,0
955832.0,0,4.0,2
955834.0,5,1.0,0
955836.0,3,1.0,0
955837.0,3,3.0,2
955839.0,5,0.0,1
955842.0,0,3.0,0
955849.0,5,0.0,2
955850.0,2,4.0,1
955854.0,2,4.0,0
955855.0,5,0.0,0
955857.0,3,1.0,1
955859.0,2,4.0,2
955860.0,0,2.0,2
955861.0,3,2.0,0
955862.0,5,1.0,0
955866.0,5,3.0,0
955867.0,3,2.0,1
955868.0,2,4.0,2
955869.0,1,2.0,1
955873.0,5,1.0,1
955874.0,5,0.0,0
955875.0,0,2.0,2
955877.0,5,0.0,1
955878.0,0,2.0,2
955879.0,2,0.0,2
955880.0,5,3.0,1
955885.0,5,0.0,1
955890.0,0,0.0,2
955891.0,2,1.0,0
955893.0,3,0.0,3
955894.0,3,2.0,0
955895.0,5,0.0,1
955896.0,0,1.0,3
955897.0,3,2.0,0
955900.0,5,3.0,0
955903.0,3,1.0,0
955905.0,3,2.0,0
955906.0,2,2.0,2
955918.0,2,3.0,0
955919.0,5,0.0,2
955920.0,5,4.0,0
955927.0,0,0.0,2
955932.0,5,4.0,0
955935.0,2,1.0,1
955938.0,0,3.0,1
955940.0,2,0.0,0
955942.0,2,0.0,0
955943.0,0,4.0,1
955945.0,0,4.0,0
955948.0,3,0.0,1
955953.0,5,1.0,2
955954.0,2,3.0,2
955957.0,3,2.0,1
955958.0,2,3.0,0
955962.0,2,0.0,0
955965.0,3,3.0,2
955969.0,2,3.0,2
955973.0,2,2.0,1
955974.0,0,1.0,1
955975.0,5,1.0,2
955979.0,0,1.0,1
955980.0,5,1.0,1
955981.0,3,0.0,1
955982.0,5,1.0,2
955984.0,3,1.0,2
955988.0,5,4.0,3
955989.0,5,0.0,0
955991.0,2,2.0,2
955992.0,0,0.0,2
955993.0,3,1.0,4
955994.0,5,4.0,3
956000.0,3,1.0,2
956002.0,3,3.0,2
956003.0,5,5.0,3
956004.0,2,1.0,1
956005.0,5,1.0,1
956006.0,2,2.0,2
956007.0,2,0.0,2
956011.0,11,0.0,
956017.0,2,2.0,2
956022.0,1,0.0,1
956023.0,0,2.0,3
956026.0,5,1.0,1
956028.0,5,1.0,3
956029.0,0,2.0,3
956030.0,5,1.0,0
956034.0,2,4.0,2
956035.0,5,1.0,0
956036.0,0,4.0,2
