"likes","page_name","video_length","total_interactions","post_views"
1101276,"DW Euromaxx","00:00:40","239,043",2065612
398766,"DW Bundesliga Kick off","00:00:36","87,302",1726311
377755,"DW Culture","00:00:38","80,416",1225314
238476,"DW Culture","00:00:35","50,713",1948496
221704,"DW Culture","00:00:46","41,867",1384716
215131,"DW Music","00:00:46","40,386",1363428
200890,"DW Euromaxx","00:00:42","51,870",1036537
162273,"DW Euromaxx","00:00:40","212,320",1934252
147700,"DW Culture","00:00:47","37,650",695058
146160,"DW Culture","00:00:35","28,302",452459
137977,"DW Culture","00:00:43","27,220",515273
136899,"DW Culture","00:00:45","23,282",709169
135751,"DW Bundesliga Kick off","00:00:38","23,676",813597
133917,"DW Culture","00:00:41","26,110",714782
132528,"DW Culture","00:00:41","30,671",447548
105210,"DW Culture","00:00:34","20,213",519484
104440,"DW Culture","00:00:42","23,289",544864
97867,"DW Culture","00:00:36","18,882",514503
95823,"DW Culture","00:00:37","18,038",797221
94850,"DW Culture","00:00:37","19,350",354406
94514,"DW Euromaxx (Deutsch)","00:00:30","17,019",231838
92260,"DW Music","00:00:50","20,697",420756
82074,"DW Culture","00:00:36","18,378",2326013
78084,"DW Culture","00:00:43","28,636",502083
77182,"DW Culture","00:00:37","13,405",1122256
74832,"DW Culture","00:00:32","17,333",354544
73577,"DW Music","00:00:42","17,523",176941
65646,"DW Culture","00:00:48","11,762",899387
64113,"DW Culture","00:00:44","12,204",253046
60998,"DW Culture","00:00:43","12,605",169874
59752,"DW Music","00:00:44","10,628",118472
58030,"DW Music","00:00:45","10,951",138558
55090,"DW Culture","00:00:47","10,191",142268
51030,"DW Culture","00:00:31","10,153",478400
48783,"DW Culture","00:00:45","9,310",309452
47264,"DW Culture","00:00:50","10,683",232162
45472,"DW Music","00:00:38","11,116",214693
43897,"DW Culture","00:00:37","8,524",645562
43001,"DW Culture","00:00:43","8,202",190902
42308,"DW Culture","00:00:43","7,892",177421
40306,"DW Music","00:00:31","9,696",257004
40222,"DW Reise","00:00:07","6,452",249521
39795,"DW Music","00:00:43","8,162",74575
39477,"DW Culture","00:00:35","50,362",1821739
39270,"DW Culture","00:00:43","7,392",118930
37980,"DW Music","00:00:33","9,069",380652
36428,"DW Business","00:00:44","11,172",275530
36057,"DW Euromaxx","00:00:39","6,764",538989
33761,"DW Euromaxx (Deutsch)","00:00:49","5,387",279655
33417,"DW Bundesliga Kick off","00:00:37","38,269",1010210
32732,"DW Culture","00:00:43","7,174",226803
32627,"DW Culture","00:00:30","6,038",216973
30583,"DW Culture","00:00:36","6,556",420063
30450,"FRANCE 24","00:00:19","9,727",453867
29925,"DW Culture","00:00:45","7,214",210011
29813,"DW Culture","00:00:36","6,045",100049
29438,"DW Culture","00:00:39","39,579",521166
29190,"DW Culture","00:00:47","37,217",683043
29050,"DW News","00:00:45","8,576",116506
28623,"DW Culture","00:00:41","5,458",189623
28578,"DW Culture","00:00:47","36,407",660514
28567,"DW Euromaxx","00:00:40","6,341",76662
28546,"DW Culture","00:00:33","5,654",349746
28005,"DW Culture","00:00:36","13,148",941748
27783,"DW Travel","00:00:07","4,599",53695
27328,"DW Culture","00:00:43","4,946",199709
27307,"DW Travel","00:00:42","4,460",93522
26802,"DW Euromaxx","00:00:35","11,326",101252
26537,"DW Culture","00:00:43","5,986",315580
25767,"DW Culture","00:00:37","4,629",464773
24901,"DW Culture","00:00:47","36,093",921147
23674,"DW Music","00:00:45","7,797",626972
23093,"DW Euromaxx","00:00:46","3,755",54586
22736,"DW Euromaxx","00:00:50","5,051",149496
22540,"DW News","00:00:43","7,185",154443
22526,"DW News","00:00:44","6,008",110334
22190,"DW Culture","00:00:34","4,938",378628
21388,"DW Culture","00:00:41","29,760",431639
20937,"DW Culture","00:00:49","3,711",294122
20346,"DW Culture","00:00:36","14,293",173046
20118,"DW Culture","00:00:33","4,540",239098
19631,"DW Culture","00:00:37","25,991",749477
19033,"DW Music","00:00:36","3,784",93849
18996,"DW Culture","00:00:43","27,984",493981
18940,"DW Culture","00:00:42","5,290",429700
18760,"DW Culture","00:00:30","3,457",334365
18687,"DW Culture","00:00:43","27,581",487938
18123,"DW Culture","00:00:39","3,416",104170
18017,"DW Culture","00:00:43","26,737",476282
17899,"DW Culture","00:00:36","3,217",306047
17649,"DW Culture","00:00:37","23,414",692219
17416,"DW Culture","00:00:35","3,194",478663
17360,"DW Music","00:00:45","3,579",83965
17325,"DW Culture","00:00:34","3,427",347238
17288,"DW Culture","00:00:37","22,960",677658
17136,"DW Culture","00:00:45","3,735",179307
16665,"DW Culture","00:00:30","7,192",489152
16626,"DW Culture","00:00:37","12,327",461383
16509,"DW Music","00:00:35","9,288",229651
16478,"DW News","00:00:45","3,784",532979
16186,"DW Culture","00:00:37","21,523",627493
16072,"DW Culture","00:00:33","2,969",64041
15682,"DW Culture","00:00:37","20,893",607449
15396,"FRANCE 24","00:00:36","11,130",719307
15337,"DW Culture","00:00:37","20,459",590407
15015,"DW Euromaxx","00:00:48","2,706",121130
14922,"DW Culture","00:00:31","24,486",603822
14882,"DW Culture","00:00:40","2,558",294109
14819,"DW Travel","00:00:13","2,284",42482
14103,"DW Culture","00:00:37","18,841",540724
13671,"DW Music","00:00:36","4,419",91573
13594,"DW Culture","00:00:32","2,566",283388
13580,"FRANCE 24","00:00:31","3,670",51997
13539,"DW Culture","00:00:47","20,232",483115
13421,"DW Culture","00:00:45","18,099",257593
13223,"DW Culture","00:00:41","3,034",228704
13187,"DW Culture","00:00:31","21,714",549345
13097,"DW Culture","00:00:36","17,601",2051100
12709,"DW Culture","00:00:31","20,963",535530
12462,"DW Culture","00:00:47","18,690",453775
12412,"DW Music","00:00:45","4,667",171808
12348,"DW Culture","00:00:34","2,503",64978
12201,"RTP Play","00:00:46","4,632",206504
12096,"FRANCE 24","00:00:36","11,904",762417
11606,"DW Reise","00:00:42","2,030",54841
11466,"DW Music","00:00:42","3,693",729648
11451,"DW Culture","00:00:35","6,037",389654
11305,"DW Travel","00:00:08","1,804",31992
11167,"DW Culture","00:00:31","18,434",475174
10276,"DW Music","00:00:34","2,099",74554
10200,"DW Culture","00:00:31","16,847",437232
10136,"DW Culture","00:00:36","1,894",223257
10021,"DW Culture","00:00:36","14,090",171888
9856,"FRANCE 24","00:00:27","2,437",60197
9709,"FRANCE 24","00:00:41","3,148",174645
9683,"DW Culture","00:00:31","15,983",405385
9674,"DW Music","00:00:32","1,979",132396
9547,"DW Culture","00:00:36","13,428",167584
9380,"DW News","00:00:37","2,287",31691
9375,"DW Culture","00:00:36","13,194",165992
9345,"DW Culture","00:00:31","2,408",218833
9226,"DW Culture","00:00:36","12,992",164467
9191,"DW Travel","00:00:15","1,527",62384
9090,"DW Culture","00:00:45","12,359",154467
8963,"DW Culture","00:00:36","12,611",161520
8947,"DW Culture","00:00:31","14,763",360738
8942,"DW Culture","00:00:36","12,616",903371
8932,"DW Culture","00:00:35","1,777",23936
8800,"DW Culture","00:00:43","3,028",184212
8737,"DW Culture","00:00:36","12,333",885652
8701,"DW News","00:00:38","3,148",48512
8607,"DW Culture","00:00:36","12,164",870507
8463,"DW Culture","00:00:34","1,574",109207
8309,"DW Business","00:00:30","1,709",272488
8286,"DW Culture","00:00:36","11,725",836492
8281,"DW Deutsch","00:00:49","3,161",118290
8211,"DW Music","00:00:30","1,643",49713
8204,"DW Reise","00:00:10","1,488",52362
8204,"DW Music","00:00:34","1,521",36088
7976,"DW Culture","00:00:37","9,782",892266
7889,"DW News","00:00:30","1,664",21126
7644,"FRANCE 24","00:00:43","1,921",20570
7364,"DW Culture","00:00:37","9,037",851277
7294,"DW Culture","00:00:33","1,266",15017
7206,"DW Culture","00:00:47","10,833",242056
7185,"DW Culture","00:00:37","8,814",839514
7091,"DW News","00:00:22","1,801",36076
7081,"DW Bundesliga Kick off","00:00:35","9,772",1305833
6941,"DW Culture","00:00:47","10,427",233297
6937,"DW Travel","00:00:10","1,217",28119
6923,"DW Travel","00:00:08","1,189",18302
6811,"DW Music","00:00:31","1,601",42653
6574,"DW Culture","00:00:37","8,045",794983
6542,"DW Culture","00:00:47","9,838",217349
6446,"DW Bundesliga Kick off","00:00:35","9,019",1275816
6414,"DW Bundesliga Kick off","00:00:35","8,979",1274584
6384,"FRANCE 24","00:00:27","2,502",32972
6360,"DW Culture","00:00:37","7,782",774851
6337,"DW Culture","00:00:32","8,981",747506
6265,"DW News","00:00:41","2,267",24315
6236,"DW Culture","00:00:37","7,628",757140
6153,"DW News","00:00:04","1,468",6526
6036,"DW Culture","00:00:32","8,586",734901
5999,"DW Culture","00:00:40","1,342",15819
5985,"DW Euromaxx (Deutsch)","00:00:48","1,038",86483
5958,"DW Culture","00:00:32","8,489",732574
5943,"DW News","00:00:28","1,963",14941
5911,"DW Culture","00:00:37","7,235",723160
5902,"DW Bundesliga Kick off","00:00:35","8,409",1259768
5838,"DW Culture","00:00:32","8,322",728069
5796,"DW News","00:00:44","1,554",14204
5783,"DW Culture","00:00:32","8,239",715582
5782,"DW Culture","00:00:30","1,164",56843
5749,"DW Culture","00:00:32","8,192",697940
5745,"DW News","00:00:43","2,822",148117
5656,"FRANCE 24","00:00:34","1,370",22145
5649,"DW News","00:00:30","1,614",27635
5642,"DW Euromaxx (Deutsch)","00:00:43","938",93573
5623,"DW Bundesliga Kick off","00:00:35","8,084",1251676
5600,"DW News","00:00:46","2,757",23353
5524,"DW Culture","00:00:32","7,891",622311
5508,"FRANCE 24","00:00:38","1,181",51836
5488,"DW Culture","00:00:38","1,020",470124
5362,"DW News","00:00:20","1,812",33518
5355,"DW Culture","00:00:30","1,099",217166
5306,"DW Euromaxx","00:00:49","966",108307
5194,"DW Culture","00:00:45","7,170",86275
5187,"DW Culture","00:00:31","1,025",25336
5160,"RTP Play","00:00:38","2,872",132043
5152,"DW Travel","00:00:49","859",250822
5123,"DW Bundesliga Kick off","00:00:35","7,525",1238415
5096,"DW Culture","00:00:43","837",116479
5082,"DW Euromaxx","00:00:27","870",46780
5075,"FRANCE 24","00:00:48","1,095",44299
5033,"DW News","00:00:41","1,244",12445
5032,"DW Travel","00:00:15","5,400",141143
5031,"DW Travel","00:00:15","5,399",141166
5029,"DW Travel","00:00:15","5,397",141237
5024,"DW Travel","00:00:15","5,390",140775
5021,"DW Travel","00:00:15","5,387",139996
4998,"DW Travel","00:00:15","5,361",131770
4986,"DW Travel","00:00:10","1,031",120987
4949,"DW News","00:00:40","1,452",13467
4886,"DW Travel","00:00:10","1,179",11083
4865,"DW Reise","00:00:10","900",15234
4851,"DW Culture","00:00:50","950",17553
4851,"DW Euromaxx","00:00:34","939",76901
4599,"DW News","00:00:47","1,188",13614
4587,"DW Bundesliga Kick off","00:00:35","6,884",1219194
4536,"DW News","00:00:47","990",20627
4529,"FRANCE 24","00:00:24","968",15504
4508,"RTP Play","00:00:37","1,060",33847
4501,"DW Travel","00:00:29","977",7686
4298,"DW Euromaxx","00:00:46","1,120",9874
4298,"DW Culture","00:00:48","919",30779
4277,"DW Culture","00:00:43","743",10120
4200,"DW Euromaxx","00:00:37","1,079",8342
4179,"DW Travel","00:00:25","754",9300
4137,"DW Travel","00:00:10","791",5818
4067,"FRANCE 24","00:00:26","850",75064
3976,"DW Culture","00:00:31","826",54929
3969,"DW Euromaxx","00:00:50","843",7619
3969,"DW Reise","00:00:08","705",20605
3962,"DW Travel","00:00:15","4,272",94089
3920,"DW Music","00:00:35","1,126",8891
3892,"DW Reise","00:00:08","719",32089
3836,"DW Euromaxx","00:00:08","1,156",45484
3787,"DW News","00:00:30","979",12109
3766,"DW Euromaxx","00:00:45","827",6926
3759,"DW News","00:00:26","1,136",19473
3730,"FRANCE 24","00:00:49","1,032",24928
3717,"DW News","00:00:04","1,188",5428
3710,"DW Culture","00:00:30","837",16961
3689,"DW News","00:00:27","1,252",39853
3675,"DW Bundesliga Kick off","00:00:49","938",25357
3654,"DW Euromaxx","00:00:23","808",16386
3588,"DW Travel","00:00:21","674",22893
3577,"DW Reise","00:00:31","635",24706
3542,"DW News","00:00:32","1,510",27983
3528,"DW Business","00:00:49","817",29000
3514,"DW Reise","00:00:25","640",13998
3507,"FRANCE 24","00:00:23","829",56833
3500,"DW News","00:00:29","1,218",32212
3465,"DW Euromaxx","00:00:32","703",71442
3442,"DW Travel","00:00:14","1,926",43302
3416,"DW News","00:00:45","872",9597
3409,"DW News","00:00:35","1,074",8736
3409,"DW News","00:00:04","954",8084
3403,"FRANCE 24","00:00:35","4,470",33799
3402,"Onet Sport","00:00:47","704",10492
3384,"DW Euromaxx","00:00:31","818",121054
3367,"DW Euromaxx","00:00:43","1,030",7030
3325,"DW Travel","00:00:37","611",4540
3325,"DW Music","00:00:26","1,035",5495
3297,"DW Euromaxx","00:00:24","804",6229
3288,"DW Bundesliga Kick off","00:00:10","1,099",8360
3265,"DW Music","00:00:39","1,088",102144
3241,"DW Culture","00:00:41","661",19692
3199,"DW Travel","00:00:06","721",3517
3192,"DW Culture","00:00:42","4,120",438541
3178,"DW Euromaxx","00:00:30","643",19728
3150,"DW Travel","00:00:10","840",5049
3042,"DW Travel","00:00:15","736",7334
3017,"DW Travel","00:00:41","870",3103
3010,"DW Travel","00:00:11","538",7751
2926,"DW Culture","00:00:35","733",10456
2891,"DW Euromaxx","00:00:26","580",10309
2891,"DW Travel","00:00:11","776",7235
